"id","Area","AP Name","Ethernet MAC Address","IP Address","AP Location","Uso"
1,9,"PEA-Aula_I2","d8:67:d9:9f:6e:80","10.200.16.131","Polo Economia Agraria - P2 Aula I2","Didattica"
2,9,"PEA-Aula_H1","d4:8c:b5:2f:4b:2a","10.200.17.109","Polo Economia Agraria - P1 Aula H1","Didattica"
3,9,"ECO_AulaB","24:e9:b3:7c:8c:70","10.200.16.151","Facoltà di Economia - Aula B","Didattica"
4,19,"Centro_Avanzi_AP2","28:94:0f:39:14:67","10.200.9.39","Centro Enrico Avanzi (SSID Ciraa)","Docenti"
5,9,"PEA-Aula_F2","f0:f7:55:df:b3:9c","10.200.16.147","Polo Economia Agraria - P2 Aula F2","Didattica"
6,9,"PEA-Aula_I1","d4:8c:b5:04:91:29","10.200.17.108","Polo Economia Agraria - P1 Aula I1","Didattica"
7,40,"FARM_AP_AulaMagna","f4:0f:1b:e7:11:3e","10.200.6.90","Piano Rialzato Aula Magna","Sala convegni"
8,25,"DI-B70-03-SeminariEst","88:43:e1:37:60:3f","10.200.16.114","Dip. Informatica Seminari Est","Sala convegni"
9,15,"Polo_Guidotti_P1_AP1","30:e4:db:95:04:54","10.200.9.64","Polo Didattico Guidotti","Biblioteca"
10,60,"Polo_Carmignani_AulaMagna","88:43:e1:78:18:a5","10.200.23.114","Polo Carmignani","Sala convegni"
11,2,"AGR-Mariscoglio-Corridoio-PT","60:73:5c:c3:82:77","10.200.23.70","AGR-Mariscoglio-Corridoio-PT","Transito"
12,3,"Rettorato_Prorettori","c4:7d:4f:3a:9b:c6","10.200.9.28","Palazzo_alla_Giornata","Amministrazione Centrale"
13,44,"MC-Galleria_Uccelli_Rapaci_GMP","c4:7d:4f:3a:3e:ab","10.200.23.128","Galleria Monti Pisani Gallerie Uccelli Rapaci I3","Museo"
14,77,"BioChimica_Atrio","cc:46:d6:96:7d:b0","10.200.23.93","San Zeno Biochimica Atrio","Dormitorio"
15,54,"Pal_Lanfranchi_Ap#1","e8:65:49:44:50:a8","10.200.9.175","Palazzo Lanfranchi PT","Museo"
16,25,"DI-B70-03-Gemignani","f4:0f:1b:80:f8:0d","10.200.16.163","Dip Informatica di fronte studio Gemignani","Biblioteca"
17,13,"BiblioLM1_FrancesisticaAP2","c4:7d:4f:3b:2e:b7","10.200.10.40","Palazzo Matteucci","Biblioteca"
18,22,"CUS","64:9e:f3:89:43:33","10.200.16.164","Centro Universitario Sportivo (Via Napoli)","Ricreativo"
19,3,"Rettorato_Sala_Cherubini","28:94:0f:39:17:9d","10.200.9.55","Sala Cherubini - Palazzo alla Giornata","Amministrazione Centrale"
20,23,"CIS_MED_BiblioCardiotoracicoED10","28:94:0f:58:d3:60","10.200.23.150","Ed. 10 P2 Biblioteca Cardiotoracico","Medico"
21,4,"Aula_Studio_Pacinotti_P1_SX","28:94:0f:26:33:ac","10.200.16.120","Aula Studio Pacinotti","Biblioteca"
22,3,"Amm.Cen.AP_P1B_Palazzo_Vitelli","c4:7d:4f:3b:2d:c3","10.200.10.18","Palazzo Vitelli - Primo Piano - Armadio B","Amministrazione Centrale"
23,4,"Aula_Studio_Pacinotti_P1","c4:7d:4f:3b:2e:91","10.200.16.149","Aula Studio Pacinotti","Biblioteca"
24,44,"MC-ST_Ex_Francesco_2","88:43:e1:37:6b:e2","10.200.17.158","ST Ex Francenco I2","Museo"
25,79,"AP_MensaPraticelli","28:94:0f:26:28:bb","10.200.10.52","Mensa Universitaria Praticelli","Ricreativo"
26,3,"Amm.Cen.AP_P2A_Palazzo_Vitelli","c4:7d:4f:3a:90:d0","10.200.10.19","Palazzo Vitelli - Secondo Piano - Armadio A","Amministrazione Centrale"
27,70,"SSSUP_Portineria","70:ca:9b:eb:70:9f","10.200.10.38","Scuola Superiore S.Anna Portineria","Transito"
28,43,"AP_Mensa_P1","28:94:0f:63:c8:84","10.10.1.138","Mensa universitaria - Via dei Martiri","Ricreativo"
29,19,"Centro_Avanzi_AulaBenvenuti","c4:7d:4f:3a:9c:01","10.200.9.44","Centro Avanzi - Aula Benvenuti","Didattica"
30,26,"Ing-B46-DIC-Urbanistica-C","50:87:89:e2:b6:cb","10.200.3.219","Ing Triennio Urbanistica","Didattica"
31,26,"Ing-B40-Destec-Idraulica-P1",,,,"Didattica"
32,26,"Ing-B65-DIA-AerospazialePT","28:94:0f:63:cb:70","10.200.3.191","Ingegneria Aerospaziale PT","Didattica"
33,13,"BiblioLM1_FrancesisticaAP3","28:94:0f:39:19:50","10.200.10.42","Palazzo Matteucci","Biblioteca"
34,43,"AP_Mensa_PT","28:94:0f:39:18:9f","10.10.0.230","Mensa universitaria - Via dei Martiri","Ricreativo"
35,52,"PalCongressi_Reception","28:94:0f:26:2c:34","10.200.9.123","Palazzo dei Congressi - Reception lato bar","Sala convegni"
36,25,"DI-B70-03-RiunioniOvest","54:a2:74:cb:2c:ac","10.200.16.143","Dip. Informatica Riunioni Ovest","Sala convegni"
37,81,"Mensa_Betti","28:94:0f:26:23:99","131.114.35.66","Mensa Betti Cisanello - Complesso Marchesi","Ricreativo"
38,9,"ECO_Presidenza","54:a2:74:d1:44:1c","10.200.16.150","Dip. Economia","Segreterie Dipartimenti"
39,35,"MED-SM-Aula-C","54:a2:74:cb:3c:94","10.200.3.159","Scuola Medica","Medico"
40,23,"CIS_MED_Ed3_Ortopedia_St_54","70:70:8b:ef:1a:98","10.200.17.26","Cisanello Ed3 P1 Ortopedia","Medico"
41,9,"PEA-SalaConferenze","d4:8c:b5:75:f4:48","10.200.23.104","Polo Economia Agraria - PT Sala Conferenze","Sala convegni"
42,70,"SSSUP_Aula","64:9e:f3:89:42:f3","10.200.10.39","Scuola Superiore SantAnna","Didattica"
43,4,"Aula_Studio_Pacinotti_AP_Int","88:43:e1:37:60:6a","10.200.16.55","Aula Studio Pacinotti","Biblioteca"
44,26,"Ing-B46-DICI-Portineria","28:94:0f:58:d4:4d","10.200.3.209","Ing Triennio DICI Portineria","Transito"
45,13,"BiblioLM1_Francesistica","c4:7d:4f:3b:2e:59","10.200.10.41","Palazzo Matteucci","Biblioteca"
46,35,"DipInt_SalaStudioOvest_PT","fc:99:47:94:89:65","10.200.5.203","DipInt - Sala Studio a Dx del Prestito PT","Biblioteca"
47,45,"OrtoBotanico-B51-Grani-P1","64:9e:f3:0e:a1:89","10.200.10.103","Orto Botanico B51 Pal. Grani P1","Didattica"
48,26,"Ing-B44-Aula_C-4.2","e8:65:49:46:a5:d0","10.200.3.254","Ingegneria Polo C","Didattica"
49,9,"PEA-Aula_D1","a4:93:4c:c2:62:b3","10.200.17.113","Polo Economia Agraria - P1 Aula D1","Didattica"
50,25,"DM-B54-00-AulaMagna","50:87:89:dd:f7:26","10.200.16.125","DM PT Aula Magna","Sala convegni"
51,25,"BiblioMif-B55-01APCentrale","28:94:0f:58:d4:59","10.200.23.165","Marzotto Biblio MIF","Biblioteca"
52,2,"AGR_Mariscoglio_AulaE.Moschini","60:73:5c:c3:9c:fe","10.200.23.148","Via Mariscoglio - Piano Primo","Didattica"
53,9,"PEA-AulaStudenti","d4:8c:b5:3c:41:a7","10.200.23.112","Polo Economia Agraria - PT Aula Studenti","Didattica"
54,2,"AGR_Mariscoglio_SalaDottorandi","60:73:5c:a8:94:8d","10.200.23.120","Via Mariscoglio - Piano Terra - Sala Dottorandi","Docenti"
55,67,"Sapienza_Aula-36_PT","70:70:8b:ef:1c:0c","10.200.12.67","Sapienza PT St.36","Didattica"
56,9,"PEA-Aula_P1","a4:93:4c:d2:40:3e","10.200.17.110","Polo Economia Agraria - P1 Aula P1","Didattica"
57,3,"CRDU","88:43:e1:37:60:31","10.200.10.205","CRDU San Piero","Ricreativo"
58,17,"VET-B24-BiblioDip","54:a2:74:93:8f:e4","10.200.16.13","Veterinaria Piagge PT","Biblioteca"
59,9,"PEA-AulaMagna","d4:8c:b5:4e:9f:f8","10.200.23.142","Polo Economia Agraria - PT Aula Magna","Didattica"
60,3,"Amm.Cen.AP_P3_Palazzo_Vitelli","c4:7d:4f:3b:28:3f","10.200.10.13","Palazzo Vitelli - Terzo Piano","Amministrazione Centrale"
61,2,"AGR_Mariscoglio_Corridoio_P1","60:73:5c:e9:33:ad","10.200.23.111","Via Mariscoglio - Piano Primo - Corridoio","Transito"
62,81,"Mensa_Betti_Bis","fc:99:47:d5:44:3e","131.114.35.67","Mensa Betti Cisanello - Complesso Marchesi","Ricreativo"
63,16,"Biblio_Storia_delle_Arti_Bis","c4:7d:4f:3b:2e:9b","10.200.9.69","Biblioteca Storia delle arti - Guidotti","Biblioteca"
64,9,"PEA-Aula_M2","d8:67:d9:95:47:48","10.200.16.153","Polo Economia Agraria - P2 Aula M2","Didattica"
65,9,"PEA-Aula_F1","d4:8c:b5:75:f5:0a","10.200.17.107","Polo Economia Agraria - P1 Aula F1","Didattica"
66,9,"ECO_AulaA","24:e9:b3:7c:8c:6d","10.200.16.165","Facoltà di Economia - Aula A","Didattica"
67,80,"Biblio_SNA","e8:65:49:46:ab:d4","10.200.9.159","Via Derna","Biblioteca"
68,56,"JUS-PalazzoRicci_Aula_Studio_P1","c4:7d:4f:3b:2e:9e","10.200.9.118","Palazzo Ricci P1","Didattica"
