"AP","data_time","users","newlogs","average_time"
"AccNav_",7/11/2018 07:30:00,1,1,21.00
"AccNav_",7/11/2018 08:00:00,1,1,6.00
"AccNav_",7/11/2018 08:30:00,1,0,12.00
"AccNav_",7/11/2018 15:00:00,1,1,6.00
"AccNav_",7/11/2018 17:00:00,1,1,5.00
"AccNav_",8/11/2018 06:00:00,1,1,20.00
"AccNav_",8/11/2018 06:30:00,1,0,40.00
"AccNav_",10/11/2018 08:00:00,1,1,11.00
"AccNav_",10/11/2018 09:30:00,1,1,5.00
"AccNav_",11/11/2018 14:30:00,1,1,5.00
"AccNav_",12/11/2018 10:30:00,1,1,95.00
"AccNav_",12/11/2018 11:00:00,1,0,190.00
"AccNav_",12/11/2018 11:30:00,1,0,285.00
"AccNav_",12/11/2018 12:00:00,1,0,380.00
"AccNav_",12/11/2018 12:30:00,1,0,475.00
"AccNav_",12/11/2018 13:30:00,5,5,16.40
"AccNav_",12/11/2018 14:00:00,2,0,82.00
"AccNav_",12/11/2018 14:30:00,5,4,5.40
"AccNav_",12/11/2018 15:00:00,4,0,13.50
"AccNav_Studio2Bis",7/11/2018 06:00:00,1,1,6.00
"AccNav_Studio2Bis",7/11/2018 06:30:00,2,1,2.50
"AccNav_Studio2Bis",7/11/2018 07:30:00,1,1,5.00
"AccNav_Studio2Bis",7/11/2018 08:30:00,1,1,5.00
"AccNav_Studio2Bis",7/11/2018 09:00:00,1,1,26.00
"AccNav_Studio2Bis",7/11/2018 09:30:00,1,0,52.00
"AccNav_Studio2Bis",7/11/2018 11:00:00,1,1,208.00
"AccNav_Studio2Bis",7/11/2018 11:30:00,1,0,416.00
"AccNav_Studio2Bis",7/11/2018 12:00:00,1,0,624.00
"AccNav_Studio2Bis",7/11/2018 12:30:00,2,1,5.00
"AccNav_Studio2Bis",7/11/2018 13:00:00,2,0,10.00
"AccNav_Studio2Bis",7/11/2018 13:30:00,1,0,1248.00
"AccNav_Studio2Bis",7/11/2018 14:00:00,3,2,1.66
"AccNav_Studio2Bis",7/11/2018 14:30:00,1,0,1664.00
"AccNav_Studio2Bis",7/11/2018 15:00:00,2,2,46.00
"AccNav_Studio2Bis",7/11/2018 15:30:00,1,0,184.00
"AccNav_Studio2Bis",7/11/2018 16:00:00,1,0,276.00
"AccNav_Studio2Bis",7/11/2018 16:30:00,1,0,368.00
"AccNav_Studio2Bis",8/11/2018 06:00:00,2,2,2.50
"AccNav_Studio2Bis",8/11/2018 06:30:00,2,1,2.50
"AccNav_Studio2Bis",8/11/2018 07:00:00,1,0,333.00
"AccNav_Studio2Bis",8/11/2018 07:30:00,3,2,1.66
"AccNav_Studio2Bis",8/11/2018 08:00:00,4,1,0.50
"AccNav_Studio2Bis",9/11/2018 08:30:00,1,1,10.00
"AccNav_Studio2Bis",9/11/2018 09:00:00,1,1,7.00
"AccNav_Studio2Bis",9/11/2018 09:30:00,1,0,14.00
"AccNav_Studio2Bis",9/11/2018 11:30:00,1,1,58.00
"AccNav_Studio2Bis",9/11/2018 12:00:00,1,0,116.00
"AccNav_Studio2Bis",9/11/2018 12:30:00,1,0,174.00
"AccNav_Studio2Bis",9/11/2018 17:30:00,1,1,10.00
"AccNav_Studio2Bis",10/11/2018 10:30:00,1,1,5.00
"AccNav_Studio2Bis",10/11/2018 12:30:00,1,1,6.00
"AccNav_Studio2Bis",11/11/2018 08:30:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 09:00:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 10:00:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 10:30:00,4,4,1.25
"AccNav_Studio2Bis",11/11/2018 11:00:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 11:30:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 14:30:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 17:30:00,2,2,2.50
"AccNav_Studio2Bis",11/11/2018 18:30:00,1,1,5.00
"AccNav_Studio2Bis",11/11/2018 19:00:00,1,1,5.00
"AccNav_Studio2Bis",12/11/2018 07:00:00,1,1,5.00
"AccNav_Studio2Bis",12/11/2018 08:00:00,1,1,32.00
"AccNav_Studio2Bis",12/11/2018 08:30:00,1,0,64.00
"AccNav_Studio2Bis",12/11/2018 09:00:00,1,1,352.00
"AccNav_Studio2Bis",12/11/2018 09:30:00,3,2,2.00
"AccNav_Studio2Bis",12/11/2018 10:00:00,4,1,1.25
"AccNav_Studio2Bis",12/11/2018 10:30:00,3,1,2.00
"AccNav_Studio2Bis",12/11/2018 11:00:00,2,1,2.50
"AccNav_Studio2Bis",12/11/2018 11:30:00,2,1,2.50
"AccNav_Studio2Bis",12/11/2018 12:00:00,1,0,2464.00
"AccNav_Studio2Bis",12/11/2018 12:30:00,1,0,2816.00
"AccNav_Studio2Bis",12/11/2018 13:00:00,8,7,0.62
"AccNav_Studio2Bis",12/11/2018 13:30:00,9,4,0.55
"AccNav_Studio2Bis",12/11/2018 14:00:00,5,2,11.00
"AccNav_Studio2Bis",12/11/2018 14:30:00,5,1,1.20
"AccNav_Studio2Bis",12/11/2018 15:00:00,6,3,1.33
"AccNav-Aula_Internet",7/11/2018 08:00:00,1,1,10.00
"AccNav-Aula_Internet",7/11/2018 09:00:00,2,2,3.00
"AccNav-Aula_Internet",7/11/2018 09:30:00,2,0,6.00
"AccNav-Aula_Internet",7/11/2018 10:00:00,1,0,606.00
"AccNav-Aula_Internet",7/11/2018 10:30:00,1,0,808.00
"AccNav-Aula_Internet",7/11/2018 11:00:00,1,0,1010.00
"AccNav-Aula_Internet",7/11/2018 11:30:00,1,0,1212.00
"AccNav-Aula_Internet",7/11/2018 12:00:00,1,0,1414.00
"AccNav-Aula_Internet",7/11/2018 12:30:00,1,0,1616.00
"AccNav-Aula_Internet",7/11/2018 13:00:00,1,1,15.00
"AccNav-Aula_Internet",7/11/2018 13:30:00,1,0,30.00
"AccNav-Aula_Internet",7/11/2018 14:30:00,2,2,2.50
"AccNav-Aula_Internet",8/11/2018 06:00:00,2,2,13.00
"AccNav-Aula_Internet",8/11/2018 06:30:00,4,2,1.25
"AccNav-Aula_Internet",8/11/2018 07:00:00,2,1,5.00
