"id","nome","indirizzo","città","cap","latitudine","longitudine","Descrizione","Macroarea"
1,"Accademia Navale","Viale Italia, 72","Livorno","57127","43.52793","10.30778",,
2,"Dipartimento  di Agraria","Via del Borghetto, 80","Pisa","56124","43.71111","10.41331",,
3,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","Pisa","56126","43.71672","10.39885",,
4,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","Pisa","56127","43.72254","10.40751",,
5,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","Pisa","56124","43.71726","10.42732",,
6,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","Pisa","56125","43.71382","10.39403",,
9,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","Pisa","56124","43.71119","10.41037",,
11,"Dipartimento di Anglistica","Via Santa Maria, 67","Pisa","56126","43.71895","10.39726",,
12,"Storia e filosofia","Via Pasquale Paoli, 9","Pisa","56126","43.71837","10.3987",,
13,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","Pisa","56126","43.71823","10.39813",,
14,"Biblioteca Salesiani","Via Nicola Pisano, 40","Pisa","56126","43.71745","10.39232",,
15,"Polo didattico ex Guidotti","Via Trieste, 38-40","Pisa","56126","43.7174","10.39228",,
16,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","Pisa","56126","43.71745","10.39232",,
17,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","Pisa","56124","43.70851","10.41197",,
18,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","Pisa","56126","43.71845","10.39603",,
19,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","Pisa","56122","43.67997","10.34677",,
20,"Centro Avanzi","Via Vecchia di Marina, 6","Pisa","56122","43.67997","10.34677",,
21,"USID","Edificio G, Largo Bruno Pontecorvo, 3","Pisa","56127","43.71993","10.40923",,
22,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","Pisa","56123","43.72651","10.4126",,
23,"Ospedale di Cisanello","Via Pietro Trivella","Pisa","56124","43.70041","10.4393",,
24,"Centro Linguistico Interdipartimentale","Via Santa Maria, 44","Pisa","56126","43.71963","10.39759",,
25,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","Pisa","56127","43.72115","10.40774",,
26,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","Pisa","56122","43.72103","10.38988",,
30,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","Pisa","56126","43.71829","10.39684",,
35,"Ospedale Santa Chiara","Via Roma, 67","Pisa","56126","43.72186","10.39571",,
37,"Ex Dipartimento di Chimica","Via Risorgimento, 35","Pisa","56126","43.71833","10.39137",,
38,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","Pisa","56126","43.71672","10.39885",,
39,"Facolta' di Lingue","Via Santa Maria, 85","Pisa","56126","43.72004","10.39703",,
40,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","Pisa","56126","43.71654","10.3886",,
43,"Mensa universitaria","Via Martiri, 1-11","Pisa","56126","43.72038","10.39986",,
44,"Museo di storia naturale","Via Roma, 79","Calci","56011","43.7222","10.52264",,
45,"Orto Botanico","Via Luca Ghini, 13","Pisa","56126","43.71914","10.39627",,
52,"Palazzo Congressi","Via Giacomo Matteotti, 1","Pisa","56124","43.71052","10.41078",,
54,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","Pisa","56125","43.71381","10.40519",,
56,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","Pisa","56126","43.71779","10.39706",,
60,"Polo Carmignani","Piazza dei Cavalieri, 8","Pisa","56126","43.72013","10.40091",,
62,"Polo Portanuova","Via Marinello Nelli","Pisa","56122","43.72587","10.39133",,
66,"Dipartimento di Biochimica","Via S. Zeno, 51","Pisa","56123","43.7228","10.40684",,
67,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","Pisa","56126","43.71733","10.39951",,
68,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","Pisa","56126","43.71675","10.39905",,
70,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","Pisa","56127","43.72096","10.40278",,
71,"Cittadella Galileiana","Via Nicola Pisano, 27","Pisa","56126","43.71686","10.39132",,
72,"Dipartimento di Filologia","Via Santa Maria, 36","Pisa","56126","43.71901","10.39753",,
73,"Edilizia","via Fermi, 4","Pisa","56126","43.71652","10.39422",,
74,"Polo Didattico Nobili","Via Alessandro Volta, 4Bis","Pisa","56126","43.71845","10.39603",,0
76,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","Pisa","56127","43.72512","10.41319",,0
77,"Pensionato Universiatario Toniolo","Via S. Zeno 8","Pisa","5623","43.72198","10.40591",,0
78,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","Pisa","56126","43.72009","10.40059",,0
79,"Residenza I Praticelli","Via Giovanni Berchet, 40","San Giuliano Terma","56017","43.7191","10.42715",,0
80,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","Pisa","56126","43.71857","10.39524",,0
81,"Mensa Betti","Via E. Betti","Pisa","56124","43.71483","10.41804",,0
