"timestamp","count","area","address","lat","lon"
"01/01/2018",431.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/01/2018",333.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/01/2018",235.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/01/2018",143.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/01/2018",105.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/01/2018",88.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/01/2018",77.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/01/2018",77.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/01/2018",55.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/01/2018",53.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/01/2018",47.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/01/2018",46.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/01/2018",45.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/01/2018",37.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/01/2018",35.00,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
"01/01/2018",33.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/01/2018",24.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/01/2018",22.00,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
"01/01/2018",17.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/01/2018",13.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/01/2018",11.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/01/2018",11.00,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
"01/01/2018",10.00,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
"01/01/2018",10.00,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
"01/01/2018",9.00,"Mensa Betti","Via E. Betti","43.71483","10.41804"
"01/01/2018",8.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/01/2018",7.00,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
"01/01/2018",5.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/01/2018",5.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/01/2018",5.00,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/01/2018",4.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/01/2018",4.00,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
"01/01/2018",1.00,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
"01/01/2018",1.00,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
"01/01/2018",1.00,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
"01/01/2018",1.00,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
"01/02/2018",520.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/02/2018",453.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/02/2018",435.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/02/2018",209.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/02/2018",128.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/02/2018",126.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/02/2018",116.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/02/2018",102.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/02/2018",75.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/02/2018",71.00,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
"01/02/2018",69.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/02/2018",57.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/02/2018",48.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/02/2018",43.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/02/2018",43.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/02/2018",42.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/02/2018",29.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/02/2018",25.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/02/2018",23.00,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
"01/02/2018",18.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/02/2018",16.00,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
"01/02/2018",16.00,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
"01/02/2018",16.00,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
"01/02/2018",15.00,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
"01/02/2018",11.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/02/2018",11.00,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/02/2018",10.00,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
"01/02/2018",8.00,"Dipartimento di Filologia","Via Santa Maria, 36","43.71901","10.39753"
"01/02/2018",6.00,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
"01/02/2018",6.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/02/2018",4.00,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
"01/02/2018",3.00,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
"01/02/2018",3.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/02/2018",3.00,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
"01/02/2018",2.00,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
"01/02/2018",1.00,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
"01/02/2018",1.00,"Cittadella Galileiana","Via Nicola Pisano, 27","43.71686","10.39132"
"01/02/2018",1.00,"Mensa Betti","Via E. Betti","43.71483","10.41804"
"01/02/2018",1.00,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
"01/03/2018",2720.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/03/2018",2458.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/03/2018",1868.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/03/2018",965.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/03/2018",689.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/03/2018",630.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/03/2018",462.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/03/2018",455.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/03/2018",432.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/03/2018",387.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/03/2018",377.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/03/2018",368.00,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
"01/03/2018",348.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/03/2018",262.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/03/2018",221.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/03/2018",200.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/03/2018",192.00,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
"01/03/2018",162.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/03/2018",146.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/03/2018",98.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/03/2018",97.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/03/2018",89.00,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
"01/03/2018",87.00,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
"01/03/2018",85.00,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
