"Data","Conta","A"
"2018-01-01",132.00,26
"2018-01-01",89.00,9
"2018-01-01",80.00,25
"2018-01-01",31.00,35
"2018-01-01",22.00,62
"2018-01-01",20.00,56
"2018-01-01",16.00,39
"2018-01-01",16.00,17
"2018-01-01",14.00,38
"2018-01-01",10.00,23
"2018-01-01",8.00,52
"2018-01-01",6.00,2
"2018-01-01",6.00,70
"2018-01-01",4.00,30
"2018-01-01",3.00,15
"2018-01-01",3.00,60
"2018-01-01",3.00,5
"2018-01-01",3.00,4
"2018-01-01",2.00,14
"2018-01-01",2.00,21
"2018-01-01",2.00,40
"2018-01-01",2.00,1
"2018-01-01",1.00,81
"2018-01-01",1.00,3
"2018-01-01",1.00,6
"2018-01-01",1.00,13
"2018-01-02",150.00,9
"2018-01-02",135.00,25
"2018-01-02",94.00,26
"2018-01-02",56.00,39
"2018-01-02",50.00,62
"2018-01-02",49.00,38
"2018-01-02",37.00,70
"2018-01-02",37.00,35
"2018-01-02",33.00,2
"2018-01-02",25.00,56
"2018-01-02",21.00,17
"2018-01-02",20.00,23
"2018-01-02",19.00,4
"2018-01-02",18.00,5
"2018-01-02",17.00,78
"2018-01-02",16.00,79
"2018-01-02",12.00,40
"2018-01-02",11.00,1
"2018-01-02",11.00,60
"2018-01-02",10.00,21
"2018-01-02",9.00,14
"2018-01-02",7.00,19
"2018-01-02",6.00,12
"2018-01-02",5.00,30
"2018-01-02",5.00,81
"2018-01-02",4.00,15
"2018-01-02",3.00,13
"2018-01-02",3.00,22
"2018-01-02",2.00,54
"2018-01-02",2.00,3
"2018-01-02",2.00,67
"2018-01-02",2.00,16
"2018-01-02",1.00,80
"2018-01-02",1.00,18
"2018-01-02",1.00,6
"2018-01-03",256.00,9
"2018-01-03",184.00,26
"2018-01-03",97.00,25
"2018-01-03",84.00,62
"2018-01-03",65.00,56
"2018-01-03",54.00,38
"2018-01-03",44.00,39
"2018-01-03",37.00,35
"2018-01-03",32.00,70
"2018-01-03",28.00,4
"2018-01-03",17.00,2
"2018-01-03",16.00,23
"2018-01-03",11.00,60
"2018-01-03",11.00,5
"2018-01-03",11.00,40
"2018-01-03",10.00,79
"2018-01-03",10.00,17
"2018-01-03",9.00,1
"2018-01-03",8.00,15
"2018-01-03",8.00,78
"2018-01-03",8.00,14
"2018-01-03",6.00,12
"2018-01-03",6.00,19
"2018-01-03",6.00,21
"2018-01-03",6.00,30
"2018-01-03",6.00,81
"2018-01-03",4.00,16
"2018-01-03",4.00,13
"2018-01-03",3.00,67
"2018-01-03",2.00,22
"2018-01-03",2.00,3
"2018-01-03",1.00,80
"2018-01-03",1.00,18
"2018-01-04",80.00,26
"2018-01-04",52.00,25
"2018-01-04",47.00,9
"2018-01-04",31.00,38
"2018-01-04",28.00,39
"2018-01-04",21.00,62
"2018-01-04",18.00,35
"2018-01-04",15.00,56
"2018-01-04",13.00,23
"2018-01-04",12.00,17
"2018-01-04",12.00,52
"2018-01-04",11.00,2
"2018-01-04",7.00,70
"2018-01-04",6.00,40
"2018-01-04",6.00,4
"2018-01-04",5.00,60
"2018-01-04",2.00,30
"2018-01-04",2.00,1
"2018-01-04",1.00,14
"2018-01-04",1.00,13
"2018-01-05",103.00,9
"2018-01-05",66.00,26
"2018-01-05",53.00,25
"2018-01-05",24.00,62
"2018-01-05",24.00,38
"2018-01-05",23.00,56
"2018-01-05",21.00,35
"2018-01-05",17.00,39
"2018-01-05",9.00,23
"2018-01-05",8.00,17
"2018-01-05",8.00,52
"2018-01-05",7.00,2
"2018-01-05",5.00,60
"2018-01-05",5.00,70
"2018-01-05",2.00,4
"2018-01-05",1.00,78
"2018-01-05",1.00,81
"2018-01-05",1.00,30
"2018-01-05",1.00,5
"2018-01-05",1.00,14
"2018-01-05",1.00,40
"2018-01-06",38.00,38
"2018-01-06",38.00,26
"2018-01-06",17.00,9
"2018-01-06",16.00,52
"2018-01-06",14.00,35
"2018-01-06",8.00,62
"2018-01-06",7.00,56
"2018-01-06",7.00,4
"2018-01-06",6.00,39
"2018-01-06",4.00,70
"2018-01-06",3.00,1
"2018-01-06",3.00,25
"2018-01-06",1.00,17
"2018-01-07",105.00,38
"2018-01-07",82.00,52
"2018-01-07",71.00,9
"2018-01-07",48.00,35
"2018-01-07",47.00,56
"2018-01-07",41.00,39
"2018-01-07",37.00,4
"2018-01-07",34.00,26
"2018-01-07",33.00,62
"2018-01-07",26.00,25
"2018-01-07",24.00,1
"2018-01-07",20.00,70
"2018-01-07",15.00,79
"2018-01-07",11.00,17
"2018-01-07",8.00,78
"2018-01-07",5.00,23
"2018-01-07",4.00,30
"2018-01-07",4.00,54
"2018-01-07",2.00,21
"2018-01-07",2.00,19
"2018-01-07",2.00,14
"2018-01-07",2.00,2
"2018-01-07",2.00,44
"2018-01-07",1.00,6
"2018-01-08",394.00,26
"2018-01-08",261.00,9
"2018-01-08",213.00,25
"2018-01-08",110.00,35
"2018-01-08",104.00,38
