timestamp,count,area,address,lat,lon
07/11/2018,3221,Dipartimento di Economia,"Via Cosimo Ridolfi, 10",43.71119,10.41037
07/11/2018,3050,Scuola di Ingegneria,"Largo Lucio Lazzarino, 1",43.72103,10.38988
07/11/2018,2573,Polo Fibonacci,"Largo Bruno Pontecorvo, 3",43.72115,10.40774
07/11/2018,1203,DSU Lungarno Pacinotti,"Lungarno Antonio Pacinotti, 43",43.71672,10.39885
07/11/2018,1118,Facoltà di Lingue,"Via Santa Maria, 85",43.72004,10.39703
07/11/2018,1106,Polo Portanuova,Via Marinello Nelli,43.72587,10.39133
07/11/2018,1015,Dipartimento di Giurisprudenza,"Via Collegio Ricci, 10",43.71779,10.39706
07/11/2018,964,Ospedale Santa Chiara,"Via Roma, 67",43.72186,10.39571
07/11/2018,571,Aula Studio Pacinotti,"Via Filippo Buonarroti, 6",43.72254,10.40751
07/11/2018,568,Dipartimento  di Agraria,"Via del Borghetto, 80",43.71111,10.41331
07/11/2018,550,Scuola Superiore S.Anna,"Piazza Martiri della Libertà, 33",43.72096,10.40278
07/11/2018,472,Dipartimento di Scienze Veterinarie,"Viale delle Piagge, 2",43.70851,10.41197
07/11/2018,456,Ospedale di Cisanello,Via Pietro Trivella,43.70041,10.4393
07/11/2018,324,Accademia Navale,"Viale Italia, 72",43.52793,10.30778
07/11/2018,298,Dipartimento di Farmacia,"Via Bonanno Pisano, 6",43.71654,10.3886
07/11/2018,295,Polo Carmignani,"Piazza dei Cavalieri, 8",43.72013,10.40091
07/11/2018,278,Biblioteca Salesiani,"Via Nicola Pisano, 40",43.71745,10.39232
07/11/2018,272,Residenza I Praticelli,"Via Giovanni Berchet, 40",43.7191,10.42715
07/11/2018,230,Dipartimento di Chimica,"Via Giuseppe Moruzzi, 13",43.71726,10.42732
07/11/2018,230,USID,"Edificio G, Largo Bruno Pontecorvo, 3",43.71993,10.40923
07/11/2018,216,Dipartimento di Scienze della Terra,"Via Santa Maria, 53",43.71829,10.39684
07/11/2018,212,DSU Piazza Cavalieri,"Piazza dei Cavalieri, 6",43.72009,10.40059
07/11/2018,183,Storia e filosofia,"Via Pasquale Paoli, 9",43.71837,10.3987
