"timestamp","hour","count","area","address","lat","lon"
07/11/2018,"00",1,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"01",1,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"01",1,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"01",1,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"01",1,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"02",1,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"02",1,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"02",1,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
07/11/2018,"02",1,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"03",2,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
07/11/2018,"03",2,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"03",1,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"03",1,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"03",1,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"03",1,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"03",1,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"04",4,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"04",1,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"04",1,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"04",1,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"04",1,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"04",1,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"04",1,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
07/11/2018,"04",1,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"04",1,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
07/11/2018,"04",1,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"04",1,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"04",1,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"05",25,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"05",17,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"05",10,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"05",8,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"05",6,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"05",6,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"05",6,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"05",4,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"05",4,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"05",3,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"05",3,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
07/11/2018,"05",3,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"05",2,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"05",2,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"05",2,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"05",1,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
07/11/2018,"05",1,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"05",1,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"05",1,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"05",1,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
07/11/2018,"05",1,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"06",77,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"06",62,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"06",56,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"06",42,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
07/11/2018,"06",42,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"06",39,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"06",33,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"06",28,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"06",27,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"06",18,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"06",16,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
